IncidentNumber,IncidentDate,Exposures,Patients,IncidentTime,Address,Latitude,Longitude,StationNumber,IncidentType,Complete,Reviewed,RunNumber,Imported
2014-1400488,2014-01-24,1,0,3:46:52,1597 FRANCISCO E SAN RAFAEL CA 94901,37.9479,-122.4923,54,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2014-1400316,2014-01-15,1,0,16:49:08,1717 LAS GALLINAS AVE SAN RAFAEL CA 94903,38.0156,-122.5496,56,143 - Grass fire,TRUE,TRUE,,TRUE
2014-1400031,2014-01-15,1,0,16:49:08,1717 LAS GALLINAS AVE SAN RAFAEL CA 94903,38.0156,-122.5496,,143 - Grass fire,TRUE,TRUE,,TRUE
2013-1307414,2013-12-31,1,0,14:03:12,25 W CASTLEWOOD DR SAN RAFAEL CA 94901,37.9836,-122.4788,55,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2013-1300781,2013-12-22,1,0,22:05:30,6 CARMEL DR NOVATO CA 94949,38.1131,-122.5774,8,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2013-1300779,2013-12-21,1,0,12:05:05,1200 HAMILTON NOVATO CA 94949,38.0612,-122.5287,8,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2013-1306497,2013-11-18,1,0,14:28:49,2955 KERNER SAN RAFAEL CA 94901,37.9543,-122.4976,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2013-1305740,2013-10-12,1,0,16:15:20,470 DU BOIS ST SAN RAFAEL CA 94901,37.9629,-122.5153,1,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,,TRUE
2013-1305505,2013-10-03,1,0,8:58:29,282 RIVIERA DR SAN RAFAEL CA 94901,37.991,-122.466,55,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
2013-1305270,2013-09-20,1,0,16:09:41,125 SHORELINE SAN RAFAEL CA 94901,37.9552,-122.4913,54,"140 - Natural vegetation fire, other",TRUE,TRUE,,TRUE
